offerid,floor,furnitured,price,buildingtype,area,rooms,rent,address,latitude,longitude
758571482,1,True,2500,apartamentowiec,38.0,2,750.0,"Belvedere Park, Krzyki, Wrocław",51.068061,17.003245
922962793,2,True,2800,apartamentowiec,34.0,1,600.0,"ul. Otyńska, Wrocław",51.1125081,16.9757874
922961378,4,True,3000,kamienica,40.0,2,3000.0,"ul. Kuznicza/Laciarska, Wrocław",51.1123394,17.0343094
679962144,4,True,2350,kamienica,27.0,1,179.0,"Wrocław, Centrum Wrocławia",51.12354740000001,17.1244131
781768689,3,True,1800,blok,21.0,1,350.0,"ul. Grunwaldzka, Wrocław",51.1141627,17.0632247
922950757,8,False,3100,pozostale,41.0,2,700.0,"ul. Legnicka, Wrocław",51.1186225,16.9983948
922944340,6,True,2600,kamienica,40.0,2,570.0,"Plac Bema, Wrocław",51.1167727,17.0420048
922944485,1,True,2800,apartamentowiec,38.0,2,,"Wrocław, ul. Racławicka",51.0808338,16.9975774
922945180,4,False,2600,pozostale,54.0,3,1100.0,"ul. Poniatowskiego, Wrocław",51.1213205,17.0433971
846131463,6,True,3200,apartamentowiec,64.0,3,600.0,"ul. Wojaczka, Wrocław",51.1468562,17.0707603
633412738,1,True,2200,blok,43.4,2,800.0,"ul. Metalowców, Wrocław-Pilczyce",51.1300386,16.9551649
676301793,10,True,2400,blok,42.0,2,690.0,"ul. Ślężna, Wrocław",51.0839248,17.0248102
893704480,3,True,2200,blok,22.0,1,450.0,"ul. Legnicka 57, Wrocław",51.1244418,16.9875976
922934288,4,True,2300,blok,34.0,1,540.0,"ul. Piotra Skargi 11, Wrocław",51.1057748,17.0377625
903448608,2,True,2000,blok,37.0,1,600.0,"ulica Jaracza, Wrocław",51.1280468,17.0570195
922929643,3,True,2700,blok,51.0,2,650.0,"ul. Kamieńskiego, Psie Pole, Wrocław",51.1568406,17.0443512
922924691,1,True,2500,blok,39.0,2,600.0,"ul. Rakietowa, Wrocław",51.0984249,16.9302955
921498802,1,False,2000,blok,37.47,1,600.0,"ul. Galla Anonima 2C, Wrocław",51.1310576,17.0596634
900416400,2,True,2400,apartamentowiec,44.0,2,700.0,"ul. Jedności Narodowej 91A, Wrocław",51.121837,17.0444104
922923764,3,True,2800,kamienica,34.5,2,600.0,"ul. Kaszubska, Wrocław",51.1208243,17.0298581
922922195,5,True,2100,blok,43.0,2,735.0,"ul. Poznańska, Wrocław",51.1179697,17.0079418
900518460,5,True,2000,kamienica,38.0,1,600.0,"Wrocław, ul. Jesnosxi Narodowej/Roosevelta, centrum",51.10929480000001,17.0386019
922918454,1,True,4000,blok,80.0,4,,ul. Bazyliowa 51-180 Wrocław,51.1746139,17.0020234
865226306,4,True,2100,kamienica,22.0,1,1.0,"Przejście Świdnickie, Wrocław",51.107534,17.0322941
922913687,,True,1850,blok,36.0,2,850.0,"ul. Kolista, Kozanów, Wrocław",51.1343603,16.9746883
916309774,2,False,2200,blok,63.0,2,550.0,"ul. Opolska, Wrocław (Księże Małe)",51.0767532,17.0849629
783455143,1,True,3600,blok,55.0,2,900.0,"ul. Racławicka, Krzyki, Wrocław",51.0808338,16.9975774
672930066,0,True,2000,blok,31.0,1,650.0,"Rynku, Wrocław",51.1106992,17.0323662
916216198,2,True,3000,apartamentowiec,42.0,2,706.0,"Osiedle Ogrody Hallera, Wrocław",51.0894335,16.9944335
922907479,,True,2600,kamienica,23.0,1,,"ul. Oleśnicka 7, Wrocław",51.1211233,17.0437286
911923397,0,True,2200,blok,50.0,2,800.0,"Wrocław, Ul. Wagnera",51.0527444,17.0609334
922908560,0,True,3500,blok,52.0,2,1000.0,"ul. Piękna, Wrocław",51.085004,17.0544712
921500436,3,True,2000,kamienica,37.0,1,200.0,"ul. Więckowskiego, Wrocław",51.0983457,17.0528855
701667054,3,True,3500,blok,86.0,4,1000.0,"ul. Krzywoustego, Osiedle Piastowskie, Wrocław",51.1417153,17.0923242
922905442,,True,2000,kamienica,50.0,2,,"ul. Niemcewicza, Wrocław",51.1212749,17.0390339
922904930,1,True,2350,blok,48.0,2,720.0,"Maślice, ul. Paniowicka, Wrocław",51.1473072,16.9509521
922768585,5,True,3500,blok,54.0,2,,"ul. Bujwida, Wrocław",51.1181124,17.0679049
701048257,2,True,2100,blok,38.0,2,700.0,"ul. Spiżowa 2, Wrocław",51.1003096,17.0018584
922902461,4,True,3390,apartamentowiec,41.0,2,550.0,"ul. Białowieska, os. Popowice Port, Wrocław",51.1295122,16.9899891
922901367,2,True,3600,blok,65.0,3,1650.0,"ul. Piwna, Plac Grunwaldzki, Wrocław",51.1138413,17.053711
922896685,1,True,2700,apartamentowiec,42.0,2,650.0,"Wrocław, brak informacji",51.10929480000001,17.0386019
922895852,2,True,2500,blok,38.5,2,600.0,"ul. Zaporoska, Wrocław",51.096659,17.0145876
886073041,3,True,2200,apartamentowiec,25.0,1,500.0,"ul. Słonimskiego, Osiedle Promenady Wrocławskie, Wrocław",51.1298024,17.0439848
922883334,1,True,2700,blok,41.0,2,731.77,"ul. Wałbrzyska, Klecina, Wrocław",51.0639582,16.979797
916872906,,True,2200,blok,57.0,2,800.0,"ulica Ślężna, Wrocław",51.0839248,17.0248102
916284337,3,True,2999,kamienica,50.0,2,600.0,"ulica Henryka Brodatego, Wrocław",51.1187543,17.0334637
641932879,2,True,2250,blok,28.5,1,450.0,"ul. Tęczowa 83a, Wrocław",51.1043758,17.0076437
922874014,7,True,2500,blok,33.0,2,250.0,"ul. Łowiecka, Wrocław",51.1246067,17.0274152
758391572,5,True,2400,blok,34.0,1,250.0,"Małopanewska 34, Wrocław",51.1204663,16.9853051
922872060,6,True,3800,apartamentowiec,68.9,3,844.69,"ul. Młynarska 2F, Wrocław",51.1434748,17.0299519
922866860,3,True,2100,kamienica,28.0,1,437.0,"Wrocław, ul. Kolejowa",51.1025044,17.0193298
922866974,4,True,2550,kamienica,45.0,2,600.0,"ul. Roosevelta, Wrocław",51.1226798,17.0423152
922865311,0,True,1900,blok,37.0,1,540.0,"Psie Pole, Wrocław",51.1458649,17.0355841
922863342,2,True,5500,kamienica,50.0,2,500.0,"Bulwar Staromiejski, Wrocław",51.1131126,17.0248671
922863803,2,True,2800,blok,40.0,2,620.0,"Wrocław, ul. Buforowa, Wroclaw",51.0566441,17.057307
859703658,3,True,2000,blok,31.0,1,400.0,"ul. Opolska 121, Wrocław",51.0727203,17.0886522
